"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"116.62" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.17702892595517 2000 2000 11563
"116.63" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.17515970114981 2000 2000 11564
"116.64" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.28004990643357 2000 2000 11565
"116.65" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.22205503151309 2000 2000 11566
"116.66" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.31288655386716 2000 2000 11567
"116.67" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.25189449859218 2000 2000 11568
"116.68" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.4038537920365 2000 2000 11569
"116.69" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.18008810197603 2000 2000 11570
"116.70" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.34974392558374 2000 2000 11571
"116.71" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.28776182116593 2000 2000 11572
"116.72" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.19471985264712 2000 2000 11573
"116.73" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.27326859825344 2000 2000 11574
"116.74" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.34869896399649 2000 2000 11575
"116.75" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.20023239122469 2000 2000 11576
"116.76" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.1241308040423 2000 2000 11577
"116.77" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.36597587357244 2000 2000 11578
"116.78" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.20689637940362 2000 2000 11579
"116.79" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.21282569817409 2000 2000 11580
"116.80" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.35757192961247 2000 2000 11581
"116.81" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.20651187235958 2000 2000 11582
"116.82" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.19608504592015 2000 2000 11583
"116.83" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.19218010109819 2000 2000 11584
"116.84" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.42363693190443 2000 2000 11585
"116.85" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.13200398614319 2000 2000 11586
"116.86" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.05147313287791 2000 2000 11587
"116.87" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.24727720824974 2000 2000 11588
"116.88" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.13264773501033 2000 2000 11589
"116.89" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.26349696264916 2000 2000 11590
"116.90" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.11668007296501 2000 2000 11591
"116.91" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.29278036052315 2000 2000 11592
"116.92" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.15579904705417 2000 2000 11593
"116.93" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.29082235383008 2000 2000 11594
"116.94" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.23545046525916 2000 2000 11595
"116.95" "A Virtuoso" "A Virtuoso" "Hawthorne, Nathaniel" "Hawthorne, Nathaniel" 8.11230255531127 2000 2000 11596
