"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"54.58" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.53576982818408 2000 2000 5359
"54.59" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.61471334952736 2000 2000 5360
"54.60" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.6538747588257 2000 2000 5361
"54.61" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.71751824417191 2000 2000 5362
"54.62" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.75446561988105 2000 2000 5363
"54.63" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.63322591883885 2000 2000 5364
"54.64" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.46773946075288 2000 2000 5365
"54.65" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.6661409762219 2000 2000 5366
"54.66" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.43843692381052 2000 2000 5367
"54.67" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.82251423898642 2000 2000 5368
"54.68" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.44801880342524 2000 2000 5369
"54.69" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.62136801956781 2000 2000 5370
"54.70" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.72435750557959 2000 2000 5371
"54.71" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.59271519211889 2000 2000 5372
"54.72" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.65028143654528 2000 2000 5373
"54.73" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.82688170916016 2000 2000 5374
"54.74" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.65592945484614 2000 2000 5375
"54.75" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.62365831401279 2000 2000 5376
"54.76" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.79603929010612 2000 2000 5377
"54.77" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.77619223458684 2000 2000 5378
"54.78" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.61851626191123 2000 2000 5379
"54.79" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.55315956398138 2000 2000 5380
"54.80" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.69264991798995 2000 2000 5381
"54.81" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.65758762887772 2000 2000 5382
"54.82" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.36443451275713 2000 2000 5383
"54.83" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.72742907986059 2000 2000 5384
"54.84" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.52723919406199 2000 2000 5385
"54.85" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.55074311023398 2000 2000 5386
"54.86" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.76348156797084 2000 2000 5387
"54.87" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.45220076051026 2000 2000 5388
"54.88" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.6275973244024 2000 2000 5389
"54.89" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.66487023073075 2000 2000 5390
"54.90" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.77479323549689 2000 2000 5391
"54.91" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.56775307611443 2000 2000 5392
"54.92" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.5577646811574 2000 2000 5393
"54.93" "Ralph the Heir" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.55332297413858 2000 2000 5394
