"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"78.8" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.9535947401023 2000 2000 7709
"78.9" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.60077968621952 2000 2000 7710
"78.10" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.83958513444547 2000 2000 7711
"78.11" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.70545174316411 2000 2000 7712
"78.12" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.67264668009643 2000 2000 7713
"78.13" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.73666230154853 2000 2000 7714
"78.14" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.54106729320236 2000 2000 7715
"78.15" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.83921766247092 2000 2000 7716
"78.16" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.53772576043125 2000 2000 7717
"78.17" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.73685251640101 2000 2000 7718
"78.18" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.71723691691949 2000 2000 7719
"78.19" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.65523127962399 2000 2000 7720
"78.20" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.6395417668898 2000 2000 7721
"78.21" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.7913760792006 2000 2000 7722
"78.22" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.74061602611454 2000 2000 7723
"78.23" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.57150246188047 2000 2000 7724
"78.24" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.64664062280371 2000 2000 7725
"78.25" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.88358032906828 2000 2000 7726
"78.26" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.58592723816616 2000 2000 7727
"78.27" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.66881534731713 2000 2000 7728
"78.28" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.87204943231371 2000 2000 7729
"78.29" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.56236317850881 2000 2000 7730
"78.30" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.74561173385186 2000 2000 7731
"78.31" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.66946109304948 2000 2000 7732
"78.32" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.53512489172224 2000 2000 7733
"78.33" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.80865041345212 2000 2000 7734
"78.34" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.98065902264103 2000 2000 7735
"78.35" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.66858585996574 2000 2000 7736
"78.36" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.85704584155907 2000 2000 7737
"78.37" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.79938412103574 2000 2000 7738
"78.38" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.79866060320723 2000 2000 7739
"78.39" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.6593086765051 2000 2000 7740
"78.40" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.55389009655865 2000 2000 7741
"78.41" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.71578618097321 2000 2000 7742
"78.42" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.83156191585707 2000 2000 7743
"78.43" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.64669069773378 2000 2000 7744
"78.44" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.60577948223482 2000 2000 7745
"78.45" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.58813292764321 2000 2000 7746
"78.46" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.6342475231646 2000 2000 7747
"78.47" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.57371268391031 2000 2000 7748
"78.48" "The Prime Minister" "The Duke" "Trollope, Anthony" "Trollope, Anthony" 6.76604002187105 2000 2000 7749
