P_ID,Flow,Word count,NAs
1,0.700992242995,2,0

2,0.898163359178,2,0

3,0.963403961104,2,0

4,0.934235454915,2,0

5,0.994623906413,2,0

6,0.920548108244,2,0

7,1.05636343986,2,0

8,1.01387714975,2,0

9,0.817638924944,2,0

10,0.926176811627,2,0

11,0.83078202989,2,0

12,0.620948375596,2,0

13,0.858223694249,2,0

14,0.122242356451,2,0

15,0.699261761176,2,0

16,0.827517437405,2,0

17,0.742633916043,2,0

18,0.50433962365,2,0

19,0.904156122378,2,0

20,0.718302502028,2,0

21,0.840405970589,2,0

22,0.641510720499,2,0

23,1.00190783743,2,0

24,None,2,1

25,None,2,1

26,0.998948085715,2,0

27,None,2,1

28,None,2,1

29,None,2,1

30,None,2,1

31,None,2,1

32,None,2,2

33,None,2,1

34,0.970976564196,2,0

35,0.924558033887,2,0

36,0.987433764103,2,0

37,1.00663752373,2,0

38,None,2,1

39,None,2,2

40,None,2,1

41,None,2,1

42,None,2,1

43,0.675431439863,2,0

44,0.945823893543,2,0

45,1.05636343986,2,0

46,0.990841837902,2,0

47,0.515694659203,2,0

48,0.739359586785,2,0

49,0.87653762733,2,0

50,0.617585725976,2,0

51,0.776705803166,2,0

52,0.387356229137,2,0

53,0.691366701705,2,0

54,0.763490194087,2,0

55,0.959767042569,2,0

56,0.744697773107,2,0

57,0.817837208831,2,0

58,0.892242539991,2,0

59,0.828310901522,2,0

60,0.694640195306,2,0

61,0.666173991038,2,0

62,0.975599903256,2,0

63,0.916589643074,2,0

64,0.80254590583,2,0

65,None,2,1

66,None,2,1

67,0.894231085035,2,0

68,0.848327268338,2,0

69,0.974361609425,2,0

70,0.960373491348,2,0

71,0.922361850385,2,0

72,0.935366618845,2,0

73,0.990044528564,2,0

74,0.969951240913,2,0

75,0.418236758693,2,0

76,0.894251529784,2,0

77,0.720308208882,2,0

78,0.301964849284,2,0

79,None,2,1

80,None,2,1

81,0.96343714536,2,0

82,0.592209095398,2,0

83,0.985054893855,2,0

84,1.00569519536,2,0

85,0.868332477213,2,0

86,0.789480005135,2,0

87,0.823356722051,2,0

88,0.986958650028,2,0

89,0.97685364995,2,0

90,None,2,1

