"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"19753.5" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.26698345114673 2000 2000 197526
"19753.6" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.30498808291689 2000 2000 197527
"19753.7" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.48253974356422 2000 2000 197528
"19753.8" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.21236777756497 2000 2000 197529
"19753.9" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.29193029078007 2000 2000 197530
"19754" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.63599608949077 2000 2000 197531
"19754.1" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.25682265047752 2000 2000 197532
"19754.2" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.49165894158302 2000 2000 197533
"19754.3" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.4203599356392 2000 2000 197534
"19754.4" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.53412978738782 2000 2000 197535
"19754.5" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.52944792346534 2000 2000 197536
"19754.6" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.3981702528574 2000 2000 197537
"19754.7" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.4924051796276 2000 2000 197538
"19754.8" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.42263291268618 2000 2000 197539
"19754.9" "The Great Stone Face" "The Altar Fire" "Hawthorne, Nathaniel" "Benson, Arthur Christopher" 6.36291302233218 2000 2000 197540
"19755" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.45846684979302 2000 2000 197541
"19755.1" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.37920389614803 2000 2000 197542
"19755.2" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.28888584051848 2000 2000 197543
"19755.3" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.54414693212074 2000 2000 197544
"19755.4" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.37646925808172 2000 2000 197545
"19755.5" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.53184955212228 2000 2000 197546
"19755.6" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.41465866989804 2000 2000 197547
"19755.7" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.50757572874013 2000 2000 197548
"19755.8" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.30216372426301 2000 2000 197549
"19755.9" "The Great Stone Face" "Diana of the Crossways" "Hawthorne, Nathaniel" "Meredith, George" 6.61591717144011 2000 2000 197550
"19756" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.47949535060722 2000 2000 197551
"19756.1" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.20756671805132 2000 2000 197552
"19756.2" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.24480800740223 2000 2000 197553
"19756.3" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.2081441873181 2000 2000 197554
"19756.4" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.15226852064367 2000 2000 197555
"19756.5" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.19818110124953 2000 2000 197556
"19756.6" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.18004469382109 2000 2000 197557
