"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"17175.1" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.41246163047335 2000 2000 171742
"17175.2" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.08534236882951 2000 2000 171743
"17175.3" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.44040721747364 2000 2000 171744
"17175.4" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.55047379370193 2000 2000 171745
"17175.5" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.44760116000622 2000 2000 171746
"17175.6" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.42582142095695 2000 2000 171747
"17175.7" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.54009225950307 2000 2000 171748
"17175.8" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.35490643522086 2000 2000 171749
"17175.9" "The Tiger Lily" "Vittoria" "Fenn, George Manville" "Meredith, George" 6.44607884538562 2000 2000 171750
"17176" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.24384805525769 2000 2000 171751
"17176.1" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.23129601256104 2000 2000 171752
"17176.2" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.33380985785269 2000 2000 171753
"17176.3" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.02381315264146 2000 2000 171754
"17176.4" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.11621922533007 2000 2000 171755
"17176.5" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.08649082202852 2000 2000 171756
"17176.6" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.23825132957851 2000 2000 171757
"17176.7" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.3475261319118 2000 2000 171758
"17176.8" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.20181513513859 2000 2000 171759
"17176.9" "The Tiger Lily" "Miss Theodora" "Fenn, George Manville" "Reed, Helen Leah" 6.13361484834706 2000 2000 171760
"17177" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.33768381294491 2000 2000 171761
"17177.1" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.33841436597584 2000 2000 171762
"17177.2" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.2077297374833 2000 2000 171763
"17177.3" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.40199533414279 2000 2000 171764
"17177.4" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.31465729628213 2000 2000 171765
"17177.5" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.28013668358116 2000 2000 171766
"17177.6" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.30668200989389 2000 2000 171767
"17177.7" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.10918079954718 2000 2000 171768
"17177.8" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.3469422603857 2000 2000 171769
"17177.9" "The Tiger Lily" "Love in a Cloud" "Fenn, George Manville" "Bates, Arlo" 6.2613553712506 2000 2000 171770
"17178" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.05210195888528 2000 2000 171771
"17178.1" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.393079474993 2000 2000 171772
"17178.2" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.18010914244206 2000 2000 171773
"17178.3" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.19881166054641 2000 2000 171774
"17178.4" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.20693023466053 2000 2000 171775
"17178.5" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.28576977622054 2000 2000 171776
"17178.6" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.2410279758113 2000 2000 171777
"17178.7" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.23996289599565 2000 2000 171778
"17178.8" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 5.91132087814681 2000 2000 171779
"17178.9" "The Tiger Lily" "St" "Fenn, George Manville" "Mikszáth, Kálmán" 6.12587697057852 2000 2000 171780
"17179" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.29827805875634 2000 2000 171781
"17179.1" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.39830684682355 2000 2000 171782
"17179.2" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.13760026907244 2000 2000 171783
"17179.3" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.25980078800676 2000 2000 171784
