"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"14182.2" "Barnaby Rudge" "The Return" "Dickens, Charles" "De la Mare, Walter" 6.46825402213191 2000 2000 141813
"14182.3" "Barnaby Rudge" "The Return" "Dickens, Charles" "De la Mare, Walter" 6.65595931604495 2000 2000 141814
"14182.4" "Barnaby Rudge" "The Return" "Dickens, Charles" "De la Mare, Walter" 6.51094350256549 2000 2000 141815
"14182.5" "Barnaby Rudge" "The Return" "Dickens, Charles" "De la Mare, Walter" 6.55360775539853 2000 2000 141816
"14182.6" "Barnaby Rudge" "The Return" "Dickens, Charles" "De la Mare, Walter" 6.48114343878724 2000 2000 141817
"14182.7" "Barnaby Rudge" "The Return" "Dickens, Charles" "De la Mare, Walter" 6.55653574728702 2000 2000 141818
"14182.8" "Barnaby Rudge" "The Return" "Dickens, Charles" "De la Mare, Walter" 6.45590101695452 2000 2000 141819
"14182.9" "Barnaby Rudge" "The Return" "Dickens, Charles" "De la Mare, Walter" 6.65262530292963 2000 2000 141820
"14183" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.36127529621635 2000 2000 141821
"14183.1" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.467819561446 2000 2000 141822
"14183.2" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.65312554289399 2000 2000 141823
"14183.3" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.16446323782963 2000 2000 141824
"14183.4" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.23839379193654 2000 2000 141825
"14183.5" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.28379579202539 2000 2000 141826
"14183.6" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.22184377584104 2000 2000 141827
"14183.7" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.4630461654912 2000 2000 141828
"14183.8" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.36597702390077 2000 2000 141829
"14183.9" "Barnaby Rudge" "Rosalynde" "Dickens, Charles" "Lodge, Thomas" 6.39086767768888 2000 2000 141830
"14184" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.48553877014944 2000 2000 141831
"14184.1" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.5421868734783 2000 2000 141832
"14184.2" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.62782608536347 2000 2000 141833
"14184.3" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.39786402062335 2000 2000 141834
"14184.4" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.41214063032854 2000 2000 141835
"14184.5" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.56078365801444 2000 2000 141836
"14184.6" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.59478710535859 2000 2000 141837
"14184.7" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.44342769311771 2000 2000 141838
"14184.8" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.51529660656171 2000 2000 141839
"14184.9" "Barnaby Rudge" "A Modern Chronicle" "Dickens, Charles" "Churchill, Winston" 6.43876876458288 2000 2000 141840
"14185" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.52722172387336 2000 2000 141841
"14185.1" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.28315650869124 2000 2000 141842
"14185.2" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.34199345568266 2000 2000 141843
"14185.3" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.50223631655697 2000 2000 141844
"14185.4" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.19858728358504 2000 2000 141845
"14185.5" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.42372624426738 2000 2000 141846
"14185.6" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.37421685276008 2000 2000 141847
"14185.7" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.23217675688552 2000 2000 141848
"14185.8" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.48357701128043 2000 2000 141849
"14185.9" "Barnaby Rudge" "The Tiger of Mysore" "Dickens, Charles" "Henty, G. A. (George Alfred)" 6.36303892966098 2000 2000 141850
"14186" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.27536844883853 2000 2000 141851
"14186.1" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.28772719959046 2000 2000 141852
"14186.2" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.10286704125868 2000 2000 141853
"14186.3" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.1628313329375 2000 2000 141854
"14186.4" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.14458129643154 2000 2000 141855
"14186.5" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.17938793467595 2000 2000 141856
"14186.6" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.20310670994468 2000 2000 141857
"14186.7" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.0769888967826 2000 2000 141858
"14186.8" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.0945406778372 2000 2000 141859
"14186.9" "Barnaby Rudge" "Kit Musgrave" "Dickens, Charles" "Bindloss, Harold" 6.27886592951089 2000 2000 141860
"14187" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.35431413714169 2000 2000 141861
"14187.1" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.25540505331642 2000 2000 141862
"14187.2" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.59589922282548 2000 2000 141863
"14187.3" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.3905871338677 2000 2000 141864
"14187.4" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.40089861885382 2000 2000 141865
"14187.5" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.44740167004711 2000 2000 141866
"14187.6" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.54470419351054 2000 2000 141867
"14187.7" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.4129445419126 2000 2000 141868
"14187.8" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.57542292693431 2000 2000 141869
"14187.9" "Barnaby Rudge" "Salthaven" "Dickens, Charles" "Jacobs, W. W. (William Wymark)" 6.55443422917677 2000 2000 141870
"14188" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.11796662194712 2000 2000 141871
"14188.1" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 5.97004258120653 2000 2000 141872
"14188.2" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.13046936118904 2000 2000 141873
"14188.3" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.1679766160278 2000 2000 141874
"14188.4" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.14736372198453 2000 2000 141875
"14188.5" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.0494814147586 2000 2000 141876
"14188.6" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.08198758825271 2000 2000 141877
"14188.7" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.11003057727638 2000 2000 141878
"14188.8" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.24650617187903 2000 2000 141879
"14188.9" "Barnaby Rudge" "1601" "Dickens, Charles" "Twain, Mark" 6.01153139053186 2000 2000 141880
"14189" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.31147257900991 2000 2000 141881
"14189.1" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.49009399231987 2000 2000 141882
"14189.2" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.29437145545284 2000 2000 141883
"14189.3" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.35373917920493 2000 2000 141884
"14189.4" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.4403766989395 2000 2000 141885
"14189.5" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.05393368028388 2000 2000 141886
"14189.6" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.40705225231979 2000 2000 141887
"14189.7" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.52131264141822 2000 2000 141888
"14189.8" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.25705629370561 2000 2000 141889
"14189.9" "Barnaby Rudge" "The Hoosier Schoolmaster" "Dickens, Charles" "Eggleston, Edward" 6.55750625777505 2000 2000 141890
"14190" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.49250140928247 2000 2000 141891
"14190.1" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.59920767374956 2000 2000 141892
"14190.2" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.501891132465 2000 2000 141893
"14190.3" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.56185070463275 2000 2000 141894
"14190.4" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.58982455132496 2000 2000 141895
"14190.5" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.59078522104629 2000 2000 141896
"14190.6" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.5794737609108 2000 2000 141897
"14190.7" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.29183243116798 2000 2000 141898
"14190.8" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.51406504258914 2000 2000 141899
"14190.9" "Barnaby Rudge" "Miriam Monfort" "Dickens, Charles" "Warfield, Catherine A. (Catherine Ann)" 6.4630332990008 2000 2000 141900
"14191" "Barnaby Rudge" "The Exploits of Juve" "Dickens, Charles" "Souvestre, Pierre" 6.57458105961513 2000 2000 141901
"14191.1" "Barnaby Rudge" "The Exploits of Juve" "Dickens, Charles" "Souvestre, Pierre" 6.40051277261784 2000 2000 141902
"14191.2" "Barnaby Rudge" "The Exploits of Juve" "Dickens, Charles" "Souvestre, Pierre" 6.41483259197981 2000 2000 141903
"14191.3" "Barnaby Rudge" "The Exploits of Juve" "Dickens, Charles" "Souvestre, Pierre" 6.37192867167872 2000 2000 141904
"14191.4" "Barnaby Rudge" "The Exploits of Juve" "Dickens, Charles" "Souvestre, Pierre" 6.34139003153626 2000 2000 141905
"14191.5" "Barnaby Rudge" "The Exploits of Juve" "Dickens, Charles" "Souvestre, Pierre" 6.55553074973481 2000 2000 141906
"14191.6" "Barnaby Rudge" "The Exploits of Juve" "Dickens, Charles" "Souvestre, Pierre" 6.53188449437177 2000 2000 141907
"14191.7" "Barnaby Rudge" "The Exploits of Juve" "Dickens, Charles" "Souvestre, Pierre" 6.30681809043403 2000 2000 141908
