"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"21272.8" "Annie Kilburn" "That Unfortunate Marriage" "Howells, William Dean" "Trollope, Frances Eleanor" 6.30327131334026 2000 2000 212719
"21272.9" "Annie Kilburn" "That Unfortunate Marriage" "Howells, William Dean" "Trollope, Frances Eleanor" 6.48974607290801 2000 2000 212720
"21273" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 6.03736562950656 2000 2000 212721
"21273.1" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 5.78186823453247 2000 2000 212722
"21273.2" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 6.00058448560088 2000 2000 212723
"21273.3" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 5.97036723586814 2000 2000 212724
"21273.4" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 5.92316730432435 2000 2000 212725
"21273.5" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 5.78645988867485 2000 2000 212726
"21273.6" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 5.87028447972747 2000 2000 212727
"21273.7" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 5.99749031650793 2000 2000 212728
"21273.8" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 5.74236688504023 2000 2000 212729
"21273.9" "Annie Kilburn" "Puck of Pook" "Howells, William Dean" "Kipling, Rudyard" 5.92440160362442 2000 2000 212730
"21274" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 6.00631005702887 2000 2000 212731
"21274.1" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 5.96122621968194 2000 2000 212732
"21274.2" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 5.90559711491019 2000 2000 212733
"21274.3" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 5.89195498938063 2000 2000 212734
"21274.4" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 5.87942531653041 2000 2000 212735
"21274.5" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 6.09142475864357 2000 2000 212736
"21274.6" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 5.94232721238602 2000 2000 212737
"21274.7" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 6.02596225342884 2000 2000 212738
"21274.8" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 5.9142130937882 2000 2000 212739
"21274.9" "Annie Kilburn" "The Shagganappi" "Howells, William Dean" "Johnson, E. Pauline" 5.75735699533937 2000 2000 212740
"21275" "Annie Kilburn" "The Helpers" "Howells, William Dean" "Lynde, Francis" 6.09792978809233 2000 2000 212741
"21275.1" "Annie Kilburn" "The Helpers" "Howells, William Dean" "Lynde, Francis" 6.36079257750016 2000 2000 212742
