"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"29887" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.28346217195609 2000 2000 298861
"29890.9" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.00029922072835 2000 2000 298900
"29891" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.45451866714387 2000 2000 298901
"29891.1" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.19552355057936 2000 2000 298902
"29891.2" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.49306635986956 2000 2000 298903
"29891.3" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.24506963705244 2000 2000 298904
"29891.4" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.49130206676676 2000 2000 298905
"29891.5" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.49968710275473 2000 2000 298906
"29891.6" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.42226930225851 2000 2000 298907
"29891.7" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.18954326285024 2000 2000 298908
"29891.8" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.33363844454384 2000 2000 298909
"29891.9" "The Daisy Chain" "His Lordship" "Yonge, Charlotte M. (Charlotte Mary)" "Wells, David Dwight" 6.39038663955612 2000 2000 298910
"29892" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.44301759644701 2000 2000 298911
"29892.1" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.1899895127067 2000 2000 298912
"29892.2" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.29921320090734 2000 2000 298913
