"path1" "path2" "dec1" "dec2" "sim" "index"
"272501" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1860s_los/fic_1868_1174.txt" "1860s" "1990s" 5.90561507510711 272501
"272502" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1940s_gax/fic_1941_10142.txt" "1940s" "1990s" 6.0054575850124 272502
"272503" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1900s_nsi/fic_1906_3764.txt" "1900s" "1990s" 5.86947234122221 272503
"272504" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1980s_bsc/fic_1980_23945.txt" "1980s" "1990s" 5.84302407692174 272504
"272505" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1950s_iie/fic_1959_10384.txt" "1950s" "1990s" 5.92813236774399 272505
"272506" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1960s_vus/fic_1961_23781.txt" "1960s" "1990s" 5.81132294953052 272506
"272507" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1970s_jmd/fic_1971_16228.txt" "1970s" "1990s" 5.36243097720992 272507
"272508" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1980s_bsc/fic_1989_14218.txt" "1980s" "1990s" 5.92432977392256 272508
"272509" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1940s_gax/fic_1948_23542.txt" "1940s" "1990s" 5.27826499684562 272509
"272510" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1970s_jmd/fic_1978_10644.txt" "1970s" "1990s" 5.83832811391029 272510
"272511" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1930s_ney/fic_1939_781942.txt" "1930s" "1990s" 5.86784317589193 272511
"272512" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1820s_hsi/fic_1821_8985.txt" "1820s" "1990s" 5.85028655911152 272512
"272513" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1810s_ksw/fic_1818_8860.txt" "1810s" "1990s" 5.97803251912098 272513
"272514" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1980s_bsc/fic_1985_780043.txt" "1980s" "1990s" 5.59727637534407 272514
"272515" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1860s_los/fic_1864_9214.txt" "1860s" "1990s" 5.72415851752308 272515
"272516" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1980s_bsc/fic_1981_10680.txt" "1980s" "1990s" 6.00336630659277 272516
"272517" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1820s_hsi/fic_1823_7246.txt" "1820s" "1990s" 5.88960241959653 272517
"272518" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1820s_hsi/fic_1826_314.txt" "1820s" "1990s" 5.72785316098756 272518
"272519" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1890s_zna/fic_1890_3314.txt" "1890s" "1990s" 6.05335040604698 272519
"272520" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1930s_ney/fic_1930_23135.txt" "1930s" "1990s" 5.90129932086588 272520
"272521" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1890s_zna/fic_1896_2831.txt" "1890s" "1990s" 5.85910263465274 272521
"272522" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1840s_nsj/fic_1849_7216.txt" "1840s" "1990s" 6.05666928293917 272522
"272523" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1880s_bss/fic_1881_3434.txt" "1880s" "1990s" 6.00189064842148 272523
"272524" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1850s_qis/fic_1853_2409.txt" "1850s" "1990s" 5.89633385653601 272524
"272525" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1900s_nsi/fic_1902_3215.txt" "1900s" "1990s" 5.92969199253386 272525
"272526" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1960s_vus/fic_1962_10417.txt" "1960s" "1990s" 6.23666948575152 272526
"272527" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1880s_bss/fic_1884_2442.txt" "1880s" "1990s" 5.83309506568943 272527
"272528" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1850s_qis/fic_1853_7927.txt" "1850s" "1990s" 5.47214233942301 272528
"272529" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1870s_hiw/fic_1872_2575.txt" "1870s" "1990s" 5.88840919710662 272529
"272530" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1880s_bss/fic_1882_7574.txt" "1880s" "1990s" 5.73218055175773 272530
"272531" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1880s_bss/fic_1887_3018.txt" "1880s" "1990s" 5.77208461562221 272531
"272532" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1810s_ksw/fic_1819_8961.txt" "1810s" "1990s" 5.30072511783646 272532
"272533" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1880s_bss/fic_1886_620.txt" "1880s" "1990s" 6.00197983029575 272533
"272534" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1970s_jmd/fic_1974_5516.txt" "1970s" "1990s" 6.10501225762241 272534
"272535" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1860s_los/fic_1861_9317.txt" "1860s" "1990s" 5.98708712614931 272535
"272536" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1870s_hiw/fic_1870_8853.txt" "1870s" "1990s" 5.58146505259907 272536
"272537" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1820s_hsi/fic_1827_9761.txt" "1820s" "1990s" 5.86484932027888 272537
"272538" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1910s_hse/fic_1919_13146.txt" "1910s" "1990s" 5.93851221915548 272538
"272539" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1850s_qis/fic_1853_1194.txt" "1850s" "1990s" 6.06174102219073 272539
"272540" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1890s_zna/fic_1896_863.txt" "1890s" "1990s" 6.17819898838653 272540
"272541" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1820s_hsi/fic_1824_7278.txt" "1820s" "1990s" 6.08413933297377 272541
"272542" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1830s_ksq/fic_1833_8847.txt" "1830s" "1990s" 5.7942620468193 272542
"272543" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1970s_jmd/fic_1970_10535.txt" "1970s" "1990s" 5.97027765410618 272543
"272544" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1930s_ney/fic_1938_23365.txt" "1930s" "1990s" 5.87665714673977 272544
"272545" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1950s_iie/fic_1954_5824.txt" "1950s" "1990s" 4.69097150831387 272545
"272546" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1880s_bss/fic_1884_5637.txt" "1880s" "1990s" 6.01044713020469 272546
"272547" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1840s_nsj/fic_1845_7317.txt" "1840s" "1990s" 5.92523993614042 272547
"272548" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1860s_los/fic_1860_2807.txt" "1860s" "1990s" 6.04148945324851 272548
"272549" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1870s_hiw/fic_1879_9680.txt" "1870s" "1990s" 6.04045902893995 272549
"272550" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1920s_bsq/fic_1922_1796.txt" "1920s" "1990s" 6.05955186998901 272550
"272551" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1870s_hiw/fic_1879_1968.txt" "1870s" "1990s" 5.94993400276469 272551
"272552" "wlp_1990s_iuw/fic_1995_39438.txt" "wlp_1950s_iie/fic_1959_4387.txt" "1950s" "1990s" 6.01053467506977 272552
