"path1" "path2" "dec1" "dec2" "sim" "index"
"25001" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1850s_qis/fic_1851_3336.txt" "1850s" "1860s" 5.57464727188082 25001
"25002" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1820s_hsi/fic_1822_7274.txt" "1820s" "1860s" 5.80378379779023 25002
"25003" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1840s_nsj/fic_1844_9633.txt" "1840s" "1860s" 5.61290391832366 25003
"25004" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1840s_nsj/fic_1849_5295.txt" "1840s" "1860s" 5.48051812086533 25004
"25005" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1810s_ksw/fic_1812_8652.txt" "1810s" "1860s" 5.95308882224462 25005
"25006" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1820s_hsi/fic_1822_7244.txt" "1820s" "1860s" 5.8764010457302 25006
"25007" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1860s_los/fic_1860_2807.txt" "1860s" "1860s" 5.71642436253259 25007
"25008" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1840s_nsj/fic_1848_7235.txt" "1840s" "1860s" 5.70715150702322 25008
"25009" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1840s_nsj/fic_1846_556.txt" "1840s" "1860s" 5.45815195529134 25009
"25010" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1860s_los/fic_1868_9307.txt" "1860s" "1860s" 5.80256671390257 25010
"25011" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1820s_hsi/fic_1824_7037.txt" "1820s" "1860s" 5.95382619389626 25011
"25012" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1820s_hsi/fic_1823_9628.txt" "1820s" "1860s" 5.65754201227909 25012
"25013" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1820s_hsi/fic_1827_9763.txt" "1820s" "1860s" 5.70846426414866 25013
"25014" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1820s_hsi/fic_1827_9761.txt" "1820s" "1860s" 5.33041423373789 25014
"25015" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1810s_ksw/fic_1817_8550.txt" "1810s" "1860s" 5.6884080395785 25015
"25016" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1840s_nsj/fic_1840_7425.txt" "1840s" "1860s" 5.89070590197718 25016
"25017" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1830s_ksq/fic_1835_7334.txt" "1830s" "1860s" 5.80679718189355 25017
"25018" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1810s_ksw/fic_1812_8649.txt" "1810s" "1860s" 5.88968231830471 25018
"25019" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1820s_hsi/fic_1823_7246.txt" "1820s" "1860s" 5.68327483985247 25019
"25020" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1840s_nsj/fic_1840_8549.txt" "1840s" "1860s" 5.41730893985049 25020
"25021" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1840s_nsj/fic_1849_7200.txt" "1840s" "1860s" 5.72670237393448 25021
"25022" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1850s_qis/fic_1855_2730.txt" "1850s" "1860s" 5.53490521522933 25022
"25023" "wlp_1860s_los/fic_1866_9769.txt" "wlp_1810s_ksw/fic_1815_8717.txt" "1810s" "1860s" 5.55972451813845 25023
