"path1" "path2" "dec1" "dec2" "sim" "index"
"145626" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1930s_ney/fic_1934_23277.txt" "1930s" "1940s" 5.58889584916334 145626
"145627" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1930s_ney/fic_1933_23259.txt" "1930s" "1940s" 5.73036926005733 145627
"145628" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1860s_los/fic_1869_9023.txt" "1860s" "1940s" 6.10559378267027 145628
"145629" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1910s_hse/fic_1918_1792.txt" "1910s" "1940s" 5.97967397901949 145629
"145630" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1850s_qis/fic_1855_602.txt" "1850s" "1940s" 6.0231221445818 145630
"145631" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1910s_hse/fic_1913_1776.txt" "1910s" "1940s" 6.22459542700782 145631
"145632" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1880s_bss/fic_1882_9315.txt" "1880s" "1940s" 5.27340214023265 145632
"145633" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1940s_gax/fic_1947_5342.txt" "1940s" "1940s" 6.23334173278213 145633
"145634" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1910s_hse/fic_1917_2199.txt" "1910s" "1940s" 6.23357971084547 145634
"145635" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1850s_qis/fic_1856_9852.txt" "1850s" "1940s" 5.79969019322194 145635
"145636" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1880s_bss/fic_1880_1561.txt" "1880s" "1940s" 6.11693956414845 145636
"145637" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1890s_zna/fic_1896_719.txt" "1890s" "1940s" 5.95344309993477 145637
"145638" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1900s_nsi/fic_1904_1304.txt" "1900s" "1940s" 6.0115843772544 145638
"145639" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1890s_zna/fic_1890_3314.txt" "1890s" "1940s" 5.96590371397496 145639
"145640" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1810s_ksw/fic_1819_8977.txt" "1810s" "1940s" 5.51587543759395 145640
"145641" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1890s_zna/fic_1899_4674.txt" "1890s" "1940s" 6.17231979916065 145641
"145642" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1810s_ksw/fic_1811_8637.txt" "1810s" "1940s" 5.81745146358567 145642
"145643" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1880s_bss/fic_1889_3773.txt" "1880s" "1940s" 6.07727782905472 145643
"145644" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1830s_ksq/fic_1833_7059.txt" "1830s" "1940s" 6.30874016725878 145644
"145645" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1930s_ney/fic_1934_14079.txt" "1930s" "1940s" 6.14190034924546 145645
"145646" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1920s_bsq/fic_1922_1796.txt" "1920s" "1940s" 6.1087933595337 145646
"145647" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1920s_bsq/fic_1922_1833.txt" "1920s" "1940s" 6.15725597576618 145647
"145648" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1920s_bsq/fic_1921_3416.txt" "1920s" "1940s" 6.14046549376198 145648
"145649" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1890s_zna/fic_1896_9594.txt" "1890s" "1940s" 5.56444541048013 145649
"145650" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1920s_bsq/fic_1921_2488.txt" "1920s" "1940s" 5.9772729783655 145650
"145651" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1860s_los/fic_1868_9516.txt" "1860s" "1940s" 5.55675894652808 145651
"145652" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1820s_hsi/fic_1827_8634.txt" "1820s" "1940s" 5.79844762754192 145652
"145653" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1930s_ney/fic_1936_14191.txt" "1930s" "1940s" 5.44849518951646 145653
"145654" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1810s_ksw/fic_1812_8872.txt" "1810s" "1940s" 5.65386794336437 145654
"145655" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1860s_los/fic_1866_7960.txt" "1860s" "1940s" 4.40285850870173 145655
"145656" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1840s_nsj/fic_1849_7200.txt" "1840s" "1940s" 6.1839346044782 145656
"145657" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1880s_bss/fic_1882_9433.txt" "1880s" "1940s" 5.9046750708218 145657
"145658" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1890s_zna/fic_1896_3869.txt" "1890s" "1940s" 5.88053054024677 145658
"145659" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1920s_bsq/fic_1921_5699.txt" "1920s" "1940s" 6.23263006614802 145659
"145660" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1810s_ksw/fic_1819_8009.txt" "1810s" "1940s" 6.17773432083473 145660
"145661" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1840s_nsj/fic_1846_9718.txt" "1840s" "1940s" 5.55538370081163 145661
"145662" "wlp_1940s_gax/fic_1945_23490.txt" "wlp_1840s_nsj/fic_1840_7425.txt" "1840s" "1940s" 5.48336613788676 145662
"145663" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1910s_hse/fic_1915_1982.txt" "1910s" "1940s" 6.07757162854315 145663
"145664" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1940s_gax/fic_1941_10148.txt" "1940s" "1940s" 6.05723924202867 145664
"145665" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1850s_qis/fic_1853_7732.txt" "1850s" "1940s" 5.34879693297841 145665
"145666" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1920s_bsq/fic_1922_2484.txt" "1920s" "1940s" 5.72824520232045 145666
"145667" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1940s_gax/fic_1940_10136.txt" "1940s" "1940s" 5.89028019944249 145667
"145668" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1810s_ksw/fic_1819_9004.txt" "1810s" "1940s" 5.63138144167081 145668
"145669" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1840s_nsj/fic_1844_2103.txt" "1840s" "1940s" 5.9197948178625 145669
"145670" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1840s_nsj/fic_1840_8909.txt" "1840s" "1940s" 5.90792656182408 145670
"145671" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1820s_hsi/fic_1823_8612.txt" "1820s" "1940s" 6.03968388930752 145671
"145672" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1870s_hiw/fic_1877_5223.txt" "1870s" "1940s" 5.91873112433013 145672
"145673" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1900s_nsi/fic_1902_840.txt" "1900s" "1940s" 5.92294232237775 145673
"145674" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1820s_hsi/fic_1827_9756.txt" "1820s" "1940s" 6.12696927500025 145674
"145675" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1920s_bsq/fic_1920_1302.txt" "1920s" "1940s" 6.0661966063305 145675
"145676" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1820s_hsi/fic_1827_9758.txt" "1820s" "1940s" 5.92343469564269 145676
"145677" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1910s_hse/fic_1918_3785.txt" "1910s" "1940s" 6.05932363081864 145677
"145678" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1940s_gax/fic_1944_12247.txt" "1940s" "1940s" 6.07163578925419 145678
"145679" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1890s_zna/fic_1891_745.txt" "1890s" "1940s" 6.2809823439215 145679
"145680" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1890s_zna/fic_1899_553.txt" "1890s" "1940s" 6.04046526171323 145680
"145681" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1870s_hiw/fic_1879_1968.txt" "1870s" "1940s" 6.1320975909254 145681
"145682" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1880s_bss/fic_1883_2892.txt" "1880s" "1940s" 6.16565360249959 145682
"145683" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1820s_hsi/fic_1824_7212.txt" "1820s" "1940s" 5.94997899434537 145683
"145684" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1880s_bss/fic_1886_9402.txt" "1880s" "1940s" 6.16017842418626 145684
"145685" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1900s_nsi/fic_1906_5625.txt" "1900s" "1940s" 5.86129097720677 145685
"145686" "wlp_1940s_gax/fic_1945_780147.txt" "wlp_1930s_ney/fic_1930_10004.txt" "1930s" "1940s" 5.77052686941987 145686
