"path1" "path2" "dec1" "dec2" "sim" "index"
"97501" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1920s_bsq/fic_1923_4570.txt" "1920s" "1920s" 6.16302650096797 97501
"97502" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1830s_ksq/fic_1835_7327.txt" "1830s" "1920s" 6.26912159372633 97502
"97503" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1810s_ksw/fic_1819_8009.txt" "1810s" "1920s" 5.43306024339186 97503
"97504" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1860s_los/fic_1866_7960.txt" "1860s" "1920s" 4.94930900837247 97504
"97505" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1820s_hsi/fic_1824_7212.txt" "1820s" "1920s" 5.94980679184394 97505
"97506" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1900s_nsi/fic_1902_3476.txt" "1900s" "1920s" 5.78400036998663 97506
"97507" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1850s_qis/fic_1851_1184.txt" "1850s" "1920s" 5.91296694434739 97507
"97508" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1900s_nsi/fic_1905_5422.txt" "1900s" "1920s" 5.95626349713489 97508
"97509" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1840s_nsj/fic_1840_7425.txt" "1840s" "1920s" 5.63307018098211 97509
"97510" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1870s_hiw/fic_1871_8055.txt" "1870s" "1920s" 5.77088896101037 97510
"97511" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1900s_nsi/fic_1902_837.txt" "1900s" "1920s" 5.70337926209638 97511
"97512" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1910s_hse/fic_1915_1982.txt" "1910s" "1920s" 6.07476854990889 97512
"97513" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1850s_qis/fic_1855_602.txt" "1850s" "1920s" 5.87724373205818 97513
"97514" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1840s_nsj/fic_1842_7384.txt" "1840s" "1920s" 5.97040789552505 97514
"97515" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1840s_nsj/fic_1843_7061.txt" "1840s" "1920s" 6.05539530291511 97515
"97516" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1890s_zna/fic_1890_1780.txt" "1890s" "1920s" 6.0619010989788 97516
"97517" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1840s_nsj/fic_1846_9718.txt" "1840s" "1920s" 5.77609573237537 97517
"97518" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1850s_qis/fic_1853_2454.txt" "1850s" "1920s" 5.8982970743163 97518
"97519" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1920s_bsq/fic_1920_1302.txt" "1920s" "1920s" 6.12236417505402 97519
"97520" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1880s_bss/fic_1880_600.txt" "1880s" "1920s" 6.01535172767087 97520
"97521" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1820s_hsi/fic_1823_7213.txt" "1820s" "1920s" 5.91514865250086 97521
"97522" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1850s_qis/fic_1858_9768.txt" "1850s" "1920s" 6.04529902655307 97522
"97523" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1850s_qis/fic_1859_9216.txt" "1850s" "1920s" 5.97879076100354 97523
"97524" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1910s_hse/fic_1917_13144.txt" "1910s" "1920s" 5.7805117462391 97524
"97525" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1830s_ksq/fic_1835_7017.txt" "1830s" "1920s" 5.87988436428114 97525
"97526" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1840s_nsj/fic_1848_7005.txt" "1840s" "1920s" 5.82584767514574 97526
"97527" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1910s_hse/fic_1914_2826.txt" "1910s" "1920s" 6.12579807299768 97527
"97528" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1890s_zna/fic_1896_2831.txt" "1890s" "1920s" 5.99184522977905 97528
"97529" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1880s_bss/fic_1886_9402.txt" "1880s" "1920s" 6.07875931210351 97529
"97530" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1890s_zna/fic_1893_9582.txt" "1890s" "1920s" 5.72612442857992 97530
"97531" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1870s_hiw/fic_1879_9680.txt" "1870s" "1920s" 6.15623120192513 97531
"97532" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1810s_ksw/fic_1811_8637.txt" "1810s" "1920s" 6.03226349030744 97532
"97533" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1850s_qis/fic_1853_7927.txt" "1850s" "1920s" 5.40555691539811 97533
"97534" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1850s_qis/fic_1853_7732.txt" "1850s" "1920s" 5.67053957183392 97534
"97535" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1830s_ksq/fic_1833_7059.txt" "1830s" "1920s" 6.23002783958793 97535
"97536" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1910s_hse/fic_1918_1792.txt" "1910s" "1920s" 6.0590558226249 97536
"97537" "wlp_1920s_bsq/fic_1920_13140.txt" "wlp_1850s_qis/fic_1851_746.txt" "1850s" "1920s" 5.46116705355782 97537
