"path1" "path2" "dec1" "dec2" "sim" "index"
"216876" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1840s_nsj/fic_1843_7155.txt" "1840s" "1970s" 6.18924920392266 216876
"216877" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1910s_hse/fic_1919_13939.txt" "1910s" "1970s" 5.82427999699246 216877
"216878" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1820s_hsi/fic_1823_7213.txt" "1820s" "1970s" 6.09114864874024 216878
"216879" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1840s_nsj/fic_1849_583.txt" "1840s" "1970s" 6.10354470280191 216879
"216880" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1960s_vus/fic_1961_10407.txt" "1960s" "1970s" 6.00647506705463 216880
"216881" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1960s_vus/fic_1960_10395.txt" "1960s" "1970s" 6.13668802549686 216881
"216882" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1810s_ksw/fic_1819_8618.txt" "1810s" "1970s" 6.05576577259273 216882
"216883" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1880s_bss/fic_1888_1842.txt" "1880s" "1970s" 6.14668869848272 216883
"216884" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1880s_bss/fic_1887_631.txt" "1880s" "1970s" 6.26465427854642 216884
"216885" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1960s_vus/fic_1964_10443.txt" "1960s" "1970s" 6.27317054278889 216885
"216886" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1850s_qis/fic_1853_7732.txt" "1850s" "1970s" 5.94783134625508 216886
"216887" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1920s_bsq/fic_1923_4570.txt" "1920s" "1970s" 6.3391077554966 216887
"216888" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1940s_gax/fic_1941_13857.txt" "1940s" "1970s" 6.06768336305436 216888
"216889" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1920s_bsq/fic_1927_14374.txt" "1920s" "1970s" 5.98784475216099 216889
"216890" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1910s_hse/fic_1917_13902.txt" "1910s" "1970s" 6.01713004421897 216890
"216891" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1930s_ney/fic_1938_23375.txt" "1930s" "1970s" 6.292278866337 216891
"216892" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1880s_bss/fic_1882_7574.txt" "1880s" "1970s" 5.95708711846549 216892
"216893" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1850s_qis/fic_1853_1194.txt" "1850s" "1970s" 5.87976796045567 216893
"216894" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1970s_jmd/fic_1978_780101.txt" "1970s" "1970s" 6.24972246515162 216894
"216895" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1840s_nsj/fic_1842_7390.txt" "1840s" "1970s" 5.67473172882274 216895
"216896" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1850s_qis/fic_1855_1209.txt" "1850s" "1970s" 6.17754043304766 216896
"216897" "wlp_1970s_jmd/fic_1973_16231.txt" "wlp_1860s_los/fic_1868_9550.txt" "1860s" "1970s" 5.63648025910072 216897
