"path1" "path2" "dec1" "dec2" "sim" "index"
"175626" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1860s_los/fic_1860_2807.txt" "1860s" "1950s" 6.41018391646521 175626
"175627" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1830s_ksq/fic_1839_8877.txt" "1830s" "1950s" 6.03587082573904 175627
"175628" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1890s_zna/fic_1893_4149.txt" "1890s" "1950s" 6.40812743605868 175628
"175629" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1910s_hse/fic_1918_1792.txt" "1910s" "1950s" 6.12676520804804 175629
"175630" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1820s_hsi/fic_1824_7037.txt" "1820s" "1950s" 6.34462339379691 175630
"175631" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1820s_hsi/fic_1824_7022.txt" "1820s" "1950s" 6.34229718209172 175631
"175632" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1850s_qis/fic_1851_9819.txt" "1850s" "1950s" 6.43900347681405 175632
"175633" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1830s_ksq/fic_1835_7309.txt" "1830s" "1950s" 6.327186773087 175633
"175634" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1890s_zna/fic_1896_3869.txt" "1890s" "1950s" 6.09829428473829 175634
"175635" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1930s_ney/fic_1931_23193.txt" "1930s" "1950s" 6.14029713897975 175635
"175636" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1810s_ksw/fic_1812_8872.txt" "1810s" "1950s" 5.91245255833402 175636
"175637" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1870s_hiw/fic_1879_9725.txt" "1870s" "1950s" 5.95296339530558 175637
"175638" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1860s_los/fic_1868_9307.txt" "1860s" "1950s" 6.10515078212955 175638
"175639" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1910s_hse/fic_1918_3785.txt" "1910s" "1950s" 6.33800944077771 175639
"175640" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1950s_iie/fic_1957_5566.txt" "1950s" "1950s" 5.66519722371944 175640
"175641" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1860s_los/fic_1863_8024.txt" "1860s" "1950s" 5.04863513617146 175641
"175642" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1830s_ksq/fic_1838_7003.txt" "1830s" "1950s" 5.93351689387129 175642
"175643" "wlp_1950s_iie/fic_1958_10374.txt" "wlp_1880s_bss/fic_1882_9433.txt" "1880s" "1950s" 6.29528014002214 175643
